,Polarity_median,Polarity_mean,Polarity_mode,Polarity_stdev,PR_nb_comments,PR_state,lines_added,lines_removed,modified_files,modified_classes,class_loc,class_cboModified,class_wmc,class_lcom*,total_methods_qtt,method_loc,method_cboModified,method_wmc,parameters_qtt
0,0.00,-0.11,0,0.31,18,-1,185,55,2,2,17.50,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00
1,0.00,0.08,0,0.54,13,-1,451,21,11,10,3.50,3.00,1.00,0.00,1.00,2.00,0.00,1.00,0.00
2,0.00,0.11,0,0.31,9,-1,5,1,1,1,0.00,0.00,0.00,0.00,0.00,,,,
3,0.00,0.00,0,0.00,1,-1,617,80,29,22,3.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4,1.00,1.00,1,0.00,1,-1,22,0,2,2,6.00,2.00,2.00,0.25,2.00,1.50,0.00,0.50,0.50
5,0.00,-0.33,0,0.47,3,-1,2,2,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0.50,0.50,1,0.50,4,-1,1,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7,0.00,0.00,0,0.00,6,1,124,12,4,4,18.50,0.50,1.50,-0.00,1.50,6.00,1.50,1.00,0.00
8,0.00,0.20,0,0.40,13,1,53,8,3,3,14.00,1.00,1.00,0.00,1.00,5.00,2.00,1.00,0.00
9,0.50,0.50,0,0.50,2,-1,150,131,33,33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,0.00,0.00,0,0.00,10,-1,85,15,4,4,2.00,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00
11,0.00,0.31,0,0.46,13,-1,6,2,2,2,1.50,0.00,0.50,0.00,0.50,0.00,0.00,0.00,0.00
12,0.00,0.00,0,0.00,2,1,2,6,2,2,-1.50,0.00,-0.50,0.00,0.00,-3.00,0.00,-1.00,0.00
13,0.00,0.00,0,0.00,1,1,6,2,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14,0.00,0.00,0,0.00,10,-1,472,2,8,8,27.00,5.00,5.00,0.35,2.00,5.50,2.00,1.00,1.00
15,0.00,0.06,0,0.23,26,1,575,41,10,10,11.50,4.00,1.50,0.00,1.50,6.00,2.50,1.00,0.00
